name,variant,per_lookup_ns,size_byte,build_ns
 RMI,0,247.493,402653216,0
 RMI,1,266.796,201326624,0
 RMI,2,278.339,100663328,0
 RMI,3,323.383,41943040,0
 RMI,4,313.419,12582944,0
 RMI,5,335.735,6291488,0
 RMI,6,355.004,3145760,0
 RMI,7,412.789,786464,0
 RMI,8,610.825,24608,0
 RMI,9,715.238,3088,0
 RS,10,307.929,1397279468,5191941203
 RS,9,294.393,292048236,3813913075
 RS,8,285.456,84595292,3140455273
 RS,7,287.587,75115916,3054689851
 RS,6,307.037,37468732,3056825923
 RS,5,344.527,6448908,2488867155
 RS,4,361.574,3544140,2662187892
 RS,3,422.511,796636,2394728179
 RS,2,472.87,384492,2190180140
 RS,1,471.479,384492,2189667894
 PGM,16,401.63,11703200,9630406768
 PGM,4,360.697,70640688,12501279422
 PGM,8,373.09,29643568,10900906662
 PGM,32,449.359,4119136,8390246287
 PGM,64,505.711,1293168,7475355901
 PGM,256,600.847,97760,6252793418
 PGM,1024,734.767,7552,5696599504
 PGM,2048,814.108,3312,5661520965
 PGM,4096,898.448,1904,5707254115
 PGM,8192,877.069,1152,5837001864
 BTree,32,681.571,87075880,60258471
 BTree,1,823.556,2786395632,2904991663
 BTree,4,728.594,696599768,678079335
 BTree,16,661.026,174150608,122935859
 BTree,64,701.095,43538112,24348745
 BTree,128,710.973,21769360,10425456
 BTree,512,745.382,5443072,2568680
 BTree,1024,785.897,2721576,1281802
 BTree,4096,919.355,680928,322197
 BTree,16384,1039.67,170960,86908
 BTree,65536,1136.64,43072,26332
 BTree,262144,1223.57,11232,9659
 IBTree,1,657.068,2421989256,2397163958
 IBTree,32,603.614,75693848,574634684
 IBTree,64,615.47,37850024,345738606
 IBTree,128,627.092,18926568,221809738
 IBTree,256,642.57,9464840,201112768
 IBTree,512,675.967,4733976,156989500
 IBTree,1024,709.575,2368544,129501133
 IBTree,2048,762.303,1188920,155203326
 IBTree,4096,867.355,592920,106029827
 IBTree,8192,929.042,299560,110318492
 FAST,1,638.105,1706666880,12051781012
 FAST,16,592.867,106666880,756632318
 FAST,256,695.635,6666880,36003548
 FAST,512,728.638,3333632,18220449
 FAST,768,767.358,2222592,11933729
 FAST,1024,778.045,1666944,9065759
 FAST,1526,828.364,1118592,6084636
 FAST,2048,837.314,833664,4586524
 FAST,4096,908.727,416768,2309598
 FAST,8192,980.748,208512,1188048
 ALEX,1,397.795,3464563660,66877099981
 ALEX,4,401.315,866299516,14452523365
 ALEX,8,416.658,433219884,6422487657
 ALEX,16,444.973,216669964,2813133702
 ALEX,32,493.732,108407724,1364612008
 ALEX,64,540.548,54274284,671463179
 ALEX,128,592.238,27207040,323686910
 ALEX,256,623.703,13610220,141391886
 ALEX,512,656.822,6844340,70371420
 ALEX,1024,687.479,3453384,35286066
 ALEX,2048,741.98,1729776,16250773
 ALEX,4096,818.645,876128,8402082
 ALEX,8192,886.973,440144,3960854
 RMICpp,1,835.48,3104,3600261314
 RMICpp,2,725.15,6176,3599572651
 RMICpp,3,651.004,12320,3606710907
 RMICpp,4,554.891,24608,3601830151
 RMICpp,5,508.643,49184,3599815147
 RMICpp,6,463.566,98336,3599477595
 RMICpp,7,434.188,196640,3602649418
 RMICpp,8,410.252,393248,3607235241
 RBS,28,165.125,1073741828,1574651840
 RBS,26,241.831,268435460,684814737
 RBS,24,310.088,67108868,418693891
 RBS,22,373.846,16777220,359255299
 RBS,20,458.283,4194308,348207553
 RBS,18,569.983,1048580,347836605
 RBS,16,656.135,262148,347289087
 RBS,14,746.493,65540,348085103
 RBS,12,826.696,16388,348342785
 RBS,10,893.904,4100,348193826
 RBS,8,942.899,1028,348094735
 CuckooMap,0,150.568,1616000000,47714066234
 RobinHash,0,123.996,6442450944,10425695647
 BinarySearch,0,1008.59,0,0
