name,per_lookup_ns,size_byte,build_ns
 RS_10,166.009,800000132,2809635016
 RS_9,166.346,800000132,2812931332
 RS_8,161.868,200000132,2386454266
 RS_7,146.871,50000132,2278909424
 RS_6,145.726,50000132,2279466634
 RS_5,109.758,12500132,2253466350
 RS_4,95.0558,3125132,2245043253
 RS_3,93.6334,195448,2244581209
 RS_2,93.6661,195448,2244566012
 RS_1,91.9969,180,2274937084
 PGM_16,128.836,460,14972299121
 PGM_4,107.841,460,14717790257
 PGM_8,113.188,460,14828090158
 PGM_32,157.997,460,14937695352
 PGM_64,187.799,460,14676912419
 PGM_256,221.298,460,14634745682
 PGM_1024,255.368,460,15051065279
 PGM_2048,283.085,460,14630736446
 PGM_4096,305.506,460,14680180645
 PGM_8192,319.894,460,14935189159
 ART_1,409.4,1618824944,6550506398
 ART_32,616.114,131324288,870516020
 ART_64,642.174,50074288,598973445
 ART_128,700.79,50074288,460653744
 ART_256,647.647,6324288,295488149
 ART_512,634.052,6324288,227605626
 ART_1024,641.855,6324288,197207969
 ART_2048,631.267,2027072,180560866
 ART_4096,902.28,513280,171132518
 ART_8192,982.885,513280,167342507
 BTree_32,714.155,116016232,66979709
 BTree_1,909.644,3712500896,3900208312
 BTree_4,810.039,928126304,924712864
 BTree_16,731.809,232032112,183577817
 BTree_64,742.883,58008568,32628271
 BTree_128,751.042,29004872,13779637
 BTree_512,769.174,7251896,3196521
 BTree_1024,806.774,3626672,1586925
 BTree_4096,928.711,906864,398006
 BTree_16384,1025.1,227048,113949
 BTree_65536,1134.78,57096,33332
 BTree_262144,1213.13,14608,11097
 IBTree_1,479.666,3225127816,2644513498
 IBTree_32,474.922,100794136,524813208
 IBTree_64,524.557,50401192,314799318
 IBTree_128,574.484,25202664,294266842
 IBTree_256,604.897,12603400,207444315
 IBTree_512,622.944,6303768,156300643
 IBTree_1024,647.186,3153952,126237299
 IBTree_2048,676.433,1583160,113479754
 IBTree_4096,726.967,789528,109827006
 IBTree_8192,811.463,398888,109072299
 FAST_1,867.589,3657143296,19553244022
 FAST_16,726.822,228571776,1253340893
 FAST_256,778.328,14286080,67842725
 FAST_512,796.735,7143296,33481160
 FAST_768,825.552,4762240,17351905
 FAST_1024,823.486,3571712,13175945
 FAST_1526,861.134,2396672,8486881
 FAST_2048,865.319,1785984,6630741
 FAST_4096,944.692,893184,3297490
 FAST_8192,996.93,446592,1616217
 ALEX_1,355.107,4607268928,19561532545
 ALEX_4,383.234,1151817280,4894140786
 ALEX_8,409.771,575908672,2448143706
 ALEX_16,437.63,287954368,1223832144
 ALEX_32,483.856,143977216,611978811
 ALEX_64,531.806,71988640,305593519
 ALEX_128,583.373,35994352,188769176
 ALEX_256,609.842,17997136,40976835
 ALEX_512,600.658,8998528,6937144
 ALEX_1024,649.194,4499376,3528958
 ALEX_2048,691.482,2249808,1718519
 ALEX_4096,775.835,1125008,883720
 ALEX_8192,854.824,562616,428893
 RMICpp_1,61.0063,3104,3635682848
 RMICpp_2,61.7817,6176,3636202614
 RMICpp_3,62.3827,12320,3637131785
 RMICpp_4,62.7196,24608,3635756322
 RMICpp_5,63.0629,49184,3635785468
 RMICpp_6,63.6526,98336,3637197736
 RMICpp_7,63.8762,196640,3653946696
 RMICpp_8,63.3381,393248,3665231050
 FST_1,620.232,1653438897,21209478067
 FST_128,2357.21,14724237,149778409
 FST_256,1876.33,6460065,68012449
 FST_512,1909.26,3335065,31271013
 FST_1024,1960.97,1772569,15465352
 FST_2048,2415.25,906410,7622057
 FST_4096,2492.24,454370,3928971
 FST_8192,2989.23,231384,1943212
 RBS_28,120.447,1073741828,1250274724
 RBS_26,137.373,268435460,636268515
 RBS_24,233.036,67108868,488700926
 RBS_22,363.428,16777220,460053345
 RBS_20,410.452,4194308,448125332
 RBS_18,485.168,1048580,445363595
 RBS_16,591.902,262148,443964356
 RBS_14,734.492,65540,443836901
 RBS_12,898.699,16388,444560540
 RBS_10,1011.85,4100,443444049
 RBS_8,1107.6,1028,444812953
 RobinHash_0,106.344,8589934592,8365318841
 BinarySearch_0,1006.74,0,0
