name,per_lookup_ns,size_byte,build_ns
 RS_10,307.178,1895162596,7225110867
 RS_9,309.512,629650996,5198169093
 RS_8,302.642,265372932,4453834364
 RS_7,283.115,89175332,3875739513
 RS_6,268.698,33876980,3659237056
 RS_5,268.142,10841716,2998618458
 RS_4,256.313,7695988,2963781066
 RS_3,303.972,1391252,2675260148
 RS_2,333.091,646324,2460788104
 RS_1,384.699,145220,2282621162
 PGM_16,369.55,4080540,8713934964
 PGM_4,372.806,52020380,12225992185
 PGM_8,344.872,15081760,10166948160
 PGM_32,405.072,1065280,7613208684
 PGM_64,476.254,271640,6881613635
 PGM_256,584.711,18200,6229312248
 PGM_1024,643.644,1300,6013101293
 PGM_2048,689.384,580,5993945470
 PGM_4096,714.657,460,6045087801
 PGM_8192,738.289,460,6172055309
 ART_1,576.016,3710029216,11689470360
 ART_32,460.794,135796784,1693369160
 ART_64,517.925,60687024,534549767
 ART_128,525.479,43522096,433754714
 ART_256,621.068,11016240,311746357
 ART_512,677.651,11016240,239605933
 ART_1024,705.005,4200496,199328558
 ART_2048,776.361,2329256,181961980
 ART_4096,808.095,530480,170447447
 ART_8192,813.559,530480,166194760
 BTree_32,713.763,116016232,67010347
 BTree_1,917.401,3712500896,3924635112
 BTree_4,792.817,928126304,931358985
 BTree_16,728.54,232032112,184228391
 BTree_64,741.908,58008568,32447933
 BTree_128,749.724,29004872,13681087
 BTree_512,774.708,7251896,3171863
 BTree_1024,808.527,3626672,1600764
 BTree_4096,930.288,906864,405944
 BTree_16384,1031.03,227048,112866
 BTree_65536,1130.35,57096,31513
 BTree_262144,1213.15,14608,10941
 IBTree_1,608.852,3225127816,2683148565
 IBTree_32,539.133,100794136,534439838
 IBTree_64,567.732,50401192,313246555
 IBTree_128,608.166,25202664,294603314
 IBTree_256,624.736,12603400,207362786
 IBTree_512,638.525,6303768,156639061
 IBTree_1024,657.332,3153952,126095418
 IBTree_2048,684.784,1583160,113678102
 IBTree_4096,741.652,789528,109643003
 IBTree_8192,816.117,398888,109336588
 FAST_1,858.878,3657143296,18972731615
 FAST_16,729.234,228571776,1214791207
 FAST_256,777.947,14286080,65744825
 FAST_512,796.821,7143296,32464469
 FAST_768,826.549,4762240,17146397
 FAST_1024,828.456,3571712,12545361
 FAST_1526,863.623,2396672,8374573
 FAST_2048,869.03,1785984,6378301
 FAST_4096,942.927,893184,3195683
 FAST_8192,996.706,446592,1628034
 ALEX_1,373.882,4607310168,43704414845
 ALEX_4,411.1,1151825896,9471014980
 ALEX_8,423.357,575914448,4839048897
 ALEX_16,431.227,287953336,1854612791
 ALEX_32,468.984,143976712,799285321
 ALEX_64,522.284,71988376,337831158
 ALEX_128,578.694,35994640,161520993
 ALEX_256,618.936,17997808,69972986
 ALEX_512,613.639,8998528,8167237
 ALEX_1024,656.08,4499376,4025209
 ALEX_2048,711.103,2249808,1956565
 ALEX_4096,781.245,1125008,1002292
 ALEX_8192,861.122,562616,502847
 RMICpp_1,490.653,3104,3842359870
 RMICpp_2,449.607,6176,3844009043
 RMICpp_3,423.242,12320,3845591762
 RMICpp_4,397.936,24608,3848675265
 RMICpp_5,377.741,49184,3852787744
 RMICpp_6,349.146,98336,3861581978
 RMICpp_7,326.431,196640,3886933680
 RMICpp_8,301.977,393248,3914078024
 FST_1,915.378,1863077863,20253807444
 FST_512,1755.31,3638918,27039874
 FST_1024,1768.19,1830754,12703271
 FST_2048,1774.66,882551,6411617
 FST_4096,1449.57,409117,2927874
 FST_8192,1488.01,213805,1519564
 RBS_28,130.378,1073741828,2682909572
 RBS_26,143.661,268435460,1189060641
 RBS_24,198.459,67108868,628678159
 RBS_22,289.093,16777220,465308024
 RBS_20,361.7,4194308,449128999
 RBS_18,435.188,1048580,444943586
 RBS_16,541.239,262148,444140194
 RBS_14,643.164,65540,443437555
 RBS_12,724.911,16388,444153680
 RBS_10,807.211,4100,443765178
 RBS_8,878.622,1028,444921423
 RobinHash_0,124.881,8589934592,21523470510
 BinarySearch_0,1006.81,0,0
